employee_id,employee_name,department,hire_date,termination_date,ytd_gross_pay,ytd_taxes_withheld,last_pay_date,is_active
EMP-00065,Jamie Miller,Engineering,2022-01-10,,26170.87,20343.24,2025-12-31,True
EMP-00066,Riley Patel,HR,2025-06-25,,43707.75,14039.08,2025-12-30,True
EMP-00067,Jamie Lee,Sales,2019-08-10,,160201.76,17923.78,2025-12-22,True
EMP-00068,Avery Garcia,Sales,2023-05-22,,47350.14,8419.98,2025-12-15,True
EMP-00069,Sam Wilson,HR,2019-01-12,,57677.99,13994.52,2025-11-19,True
EMP-00070,Skyler Davis,HR,2024-09-04,,98475.64,6262.87,2025-12-21,True
EMP-00071,Reese Garcia,Marketing,2018-10-21,,11501.69,20270.55,2025-11-18,True
EMP-00072,Jamie Patel,Engineering,2019-12-04,,51194.58,14316.4,2025-12-12,True
EMP-00073,Sam Davis,HR,2019-06-03,,27069.88,12668.19,2025-11-23,True
EMP-00074,Casey Miller,Engineering,2024-06-30,,60562.45,23741.42,2025-12-21,True
EMP-00075,Taylor Miller,Engineering,2018-12-13,,79070.31,19299.52,2025-12-01,True
EMP-00076,Jordan Miller,Engineering,2017-07-04,,83265.07,6797.61,2025-11-15,True
EMP-00077,Taylor Singh,Marketing,2024-10-03,,49524.62,8863.3,2025-12-09,True
EMP-00078,Skyler Taylor,Engineering,2019-04-17,,32147.77,24333.97,2025-12-23,True
EMP-00079,Jordan Miller,Sales,2022-04-21,,65555.74,10540.14,2025-12-25,True
EMP-00080,Casey Thomas,Finance,2019-10-11,,92183.41,11851.42,2025-11-22,True
EMP-00081,Skyler Patel,Sales,2022-11-25,,71046.32,12238.5,2025-12-18,True
EMP-00082,Reese Garcia,Marketing,2025-04-09,,36883.5,16349.85,2025-11-09,True
EMP-00083,Jamie Garcia,Engineering,2015-10-31,,96876.5,11230.91,2025-12-06,True
EMP-00084,Skyler Jackson,Sales,2022-02-23,,72458.91,8755.78,2025-11-07,True
EMP-00085,Quinn Miller,Ops,2020-06-21,,64842.89,10163.55,2025-12-11,True
EMP-00086,Alex Davis,Sales,2020-12-06,,30753.22,13587.64,2025-11-30,True
EMP-00087,Skyler Moore,Sales,2015-09-10,,69665.28,12993.51,2025-12-25,True
EMP-00088,Morgan Wilson,HR,2016-08-12,,48222.22,12886.99,2025-11-24,True
EMP-00089,Jamie Singh,Marketing,2015-03-29,,104265.89,14956.87,2025-11-02,True
EMP-00090,Avery Thomas,Marketing,2020-10-22,,85583.38,36706.55,2025-12-28,True
EMP-00091,Reese Miller,Engineering,2021-10-31,,57203.74,5439.37,2025-11-12,True
EMP-00092,Dakota Miller,Marketing,2015-05-20,,57488.69,8984.22,2025-11-21,True
EMP-00093,Skyler Davis,Finance,2021-09-12,,53992.32,6181.16,2025-11-09,True
EMP-00094,Taylor Taylor,HR,2018-08-26,,35496.98,22099.35,2025-12-23,True
EMP-00095,Jordan Brown,Marketing,2017-02-27,,40919.04,10732.02,2025-12-05,True
EMP-00096,Quinn Moore,Sales,2020-01-29,,55811.7,7777.66,2025-11-02,True
EMP-00097,Quinn Singh,Marketing,2023-10-15,,37261.73,15593.57,2025-12-01,True
EMP-00098,Sam Wilson,Sales,2015-06-04,,59574.79,9147.0,2025-11-19,True
EMP-00099,Dakota Garcia,Marketing,2021-05-18,,30744.98,18525.08,2025-11-23,True
EMP-00100,Skyler Anderson,HR,2016-05-20,,120505.83,10548.46,2025-11-01,True
